symbol,code,name,industry,listing_time
301535.SZSE,301535,浙江华远,汽车制造业,2025-03-27
301616.SZSE,301616,浙江华业,通用设备制造业,2025-03-27
688757.SSE,688757,胜科纳米,专业技术服务业,2025-03-25
301629.SZSE,301629,矽电股份,专用设备制造业,2025-03-24
001382.SZSE,001382,新亚电缆,电气机械和器材制造业,2025-03-21
603124.SSE,603124,江南新材,计算机、通信和其他电子设备制造业,2025-03-20
301501.SZSE,301501,恒鑫生活,造纸和纸制品业,2025-03-19
301479.SZSE,301479,弘景光电,计算机、通信和其他电子设备制造业,2025-03-18
301275.SZSE,301275,汉朔科技,计算机、通信和其他电子设备制造业,2025-03-11
603271.SSE,603271,永杰新材,有色金属冶炼和压延加工业,2025-03-11
603409.SSE,603409,汇通控股,汽车制造业,2025-03-04
301557.SZSE,301557,常友科技,非金属矿物制品业,2025-03-04
301173.SZSE,301173,毓恬冠佳,汽车制造业,2025-03-03
920108.BSE,920108,宏海科技,电气机械和器材制造业,2025-02-06
001395.SZSE,001395,亚联机械,专用设备制造业,2025-01-27
688411.SSE,688411,海博思创,电气机械和器材制造业,2025-01-27
001356.SZSE,001356,富岭股份,橡胶和塑料制品业,2025-01-23
688545.SSE,688545,兴福电子,计算机、通信和其他电子设备制造业,2025-01-22
301602.SZSE,301602,超研股份,专用设备制造业,2025-01-22
688583.SSE,688583,思看科技,仪器仪表制造业,2025-01-15
301601.SZSE,301601,惠通科技,专用设备制造业,2025-01-15
688758.SSE,688758,赛分科技,化学原料和化学制品制造业,2025-01-10
301458.SZSE,301458,钧崴电子,计算机、通信和其他电子设备制造业,2025-01-10
603072.SSE,603072,天和磁材,计算机、通信和其他电子设备制造业,2025-01-03
301581.SZSE,301581,黄山谷捷,汽车制造业,2025-01-03
920116.BSE,920116,星图测控,软件和信息技术服务业,2025-01-02
001391.SZSE,001391,国货航,航空运输业,2024-12-30
920082.BSE,920082,方正阀门,通用设备制造业,2024-12-26
603194.SSE,603194,中力股份,通用设备制造业,2024-12-24
301598.SZSE,301598,博科测试,专用设备制造业,2024-12-20
301585.SZSE,301585,蓝宇股份,化学原料和化学制品制造业,2024-12-20
920106.BSE,920106,林泰新材,汽车制造业,2024-12-18
688605.SSE,688605,先锋精科,通用设备制造业,2024-12-12
301617.SZSE,301617,博苑新材,化学原料和化学制品制造业,2024-12-11
920098.BSE,920098,科隆新材,橡胶和塑料制品业,2024-12-05
688708.SSE,688708,佳驰科技,其他制造业,2024-12-05
301622.SZSE,301622,英思特,计算机、通信和其他电子设备制造业,2024-12-04
